minX,maxX,minY,maxY,minZ,maxZ
-315.239,-305.239,-444.232,-434.232,0,171
-305.239,-295.239,-444.232,-434.232,0,171
-295.239,-285.239,-444.232,-434.232,0,171
-285.239,-275.239,-444.232,-434.232,0,171
-225.239,-215.239,-444.232,-434.232,0,100
-215.239,-205.239,-444.232,-434.232,0,100
-175.239,-165.239,-444.232,-434.232,0,3
-165.239,-155.239,-444.232,-434.232,0,3
-155.239,-145.239,-444.232,-434.232,0,3
-145.239,-135.239,-444.232,-434.232,0,92
-135.239,-125.239,-444.232,-434.232,0,92
-125.239,-115.239,-444.232,-434.232,0,55
-115.239,-105.239,-444.232,-434.232,0,55
-105.239,-95.2389,-444.232,-434.232,0,16
-95.2389,-85.2389,-444.232,-434.232,0,16
-85.2389,-75.2389,-444.232,-434.232,0,16
-45.2389,-35.2389,-444.232,-434.232,0,41
-35.2389,-25.2389,-444.232,-434.232,0,41
-15.2389,-5.23886,-444.232,-434.232,0,15
-5.23886,4.76114,-444.232,-434.232,0,24
14.7611,24.7611,-444.232,-434.232,0,53
34.7611,44.7611,-444.232,-434.232,0,109
44.7611,54.7611,-444.232,-434.232,0,109
54.7611,64.7611,-444.232,-434.232,0,109
94.7611,104.761,-444.232,-434.232,0,22
104.761,114.761,-444.232,-434.232,0,22
114.761,124.761,-444.232,-434.232,0,22
124.761,134.761,-444.232,-434.232,0,22
134.761,144.761,-444.232,-434.232,0,22
154.761,164.761,-444.232,-434.232,0,36
344.761,354.761,-444.232,-434.232,0,34
354.761,364.761,-444.232,-434.232,0,34
364.761,374.761,-444.232,-434.232,0,34
374.761,384.761,-444.232,-434.232,0,34
384.761,394.761,-444.232,-434.232,0,34
414.761,424.761,-444.232,-434.232,0,10
424.761,434.761,-444.232,-434.232,0,10
434.761,444.761,-444.232,-434.232,0,10
444.761,454.761,-444.232,-434.232,0,10
474.761,484.761,-444.232,-434.232,0,59
484.761,494.761,-444.232,-434.232,0,59
494.761,504.761,-444.232,-434.232,0,59
504.761,514.761,-444.232,-434.232,0,59
514.761,524.761,-444.232,-434.232,0,59
524.761,534.761,-444.232,-434.232,0,59
534.761,544.761,-444.232,-434.232,0,59
564.761,574.761,-444.232,-434.232,0,59
574.761,584.761,-444.232,-434.232,0,59
-315.239,-305.239,-434.232,-424.232,0,171
-305.239,-295.239,-434.232,-424.232,0,171
-295.239,-285.239,-434.232,-424.232,0,171
-285.239,-275.239,-434.232,-424.232,0,171
-275.239,-265.239,-434.232,-424.232,0,171
-225.239,-215.239,-434.232,-424.232,0,100
-215.239,-205.239,-434.232,-424.232,0,100
-175.239,-165.239,-434.232,-424.232,0,92
-165.239,-155.239,-434.232,-424.232,0,92
-155.239,-145.239,-434.232,-424.232,0,92
-145.239,-135.239,-434.232,-424.232,0,92
-135.239,-125.239,-434.232,-424.232,0,92
