x,y,z
9.99999,10,9.99997
10.0055,9.99366,10.0198
10.0737,9.91686,10.2666
10.307,9.66011,11.1272
10.7894,9.14655,12.9487
11.5492,8.37578,15.9034
12.5493,7.43399,19.9406
13.6966,6.47933,24.8035
14.8644,5.71214,30.0884
15.9191,5.33915,35.3231
16.7451,5.54063,40.0434
17.2621,6.44666,43.8516
17.435,8.12339,46.4546
17.2767,10.5681,47.6842
16.845,13.7114,47.5015
16.2361,17.4258,45.9895
15.573,21.538,43.335
14.9939,25.8446,39.8045
14.6381,30.1296,35.7149
14.6327,34.1813,31.4033
15.081,37.8083,27.1981
16.0534,40.8528,23.3941
17.5814,43.1997,20.2341
19.6563,44.7812,17.897
22.2308,45.578,16.4939
25.223,45.6168,16.0679
28.5232,44.9654,16.5998
32.0022,43.7257,18.0167
35.52,42.0252,20.2028
38.9351,40.0076,23.0128
42.1143,37.8234,26.2846
44.9402,35.6209,29.8525
47.3185,33.5382,33.5587
49.1826,31.6964,37.2619
50.4959,30.1955,40.844
51.2523,29.1117,44.2127
51.474,28.4963,47.3028
51.2085,28.3766,50.0748
50.5244,28.7574,52.5118
49.5055,29.6232,54.616
48.2459,30.9422,56.4035
46.8433,32.6691,57.8994
45.3944,34.7491,59.133
43.9892,37.1218,60.1333
42.7076,39.7237,60.9254
41.6162,42.4914,61.529
40.7675,45.363,61.9569
40.1996,48.2798,62.2163
39.9364,51.1866,62.3097
39.9901,54.0325,62.2374
40.362,56.7707,61.9998
41.0461,59.3585,61.6005
42.0303,61.7571,61.0487
43.2993,63.9313,60.3614
44.8364,65.8496,59.5656
46.6246,67.484,58.6991
48.6473,68.8108,57.8099
50.8877,69.8114,56.9552
53.3281,70.4732,56.1989
55.948,70.791,55.6085
58.7221,70.7681,55.2508
61.6187,70.4179,55.1883
64.5976,69.7649,55.4746
67.6087,68.845,56.1511
70.5912,67.7063,57.2431
73.4741,66.4083,58.7571
76.1769,65.0214,60.6794
78.6122,63.6249,62.9757
80.6902,62.3039,65.592
82.3232,61.1464,68.4571
83.4327,60.239,71.4865
83.9556,59.6619,74.5869
83.8508,59.4853,77.661
83.1058,59.7643,80.6133
81.7413,60.5352,83.3553
79.8147,61.8127,85.8104
77.422,63.5871,87.9183
74.6967,65.824,89.6381
71.8059,68.4642,90.9509
68.9426,71.4265,91.8597
66.3154,74.6116,92.3885
64.1347,77.9078,92.5795
62.5973,81.1974,92.4891
61.8714,84.3643,92.1835
62.0813,87.3013,91.7333
63.2948,89.9167,91.2082
65.513,92.1408,90.672
68.6651,93.9304,90.1783
72.6078,95.272,89.7669
77.132,96.1821,89.4616
81.9767,96.7051,89.27
86.8514,96.9084,89.1845
91.4652,96.8741,89.1857
95.559,96.6897,89.2469
98.9363,96.4378,89.3388
101.488,96.187,89.4349
103.209,95.9847,89.515
104.196,95.853,89.5684
104.633,95.7887,89.5951
104.752,95.77,89.603
104.761,95.7685,89.6036
